名前:
日付:
学期:
県庁所在地クイズ




1. 宮城県の県庁所在地を選択肢からお選びください。
(A) 徳島市
(B) 大阪市
(C) 長野市
(D) 仙台市


2. 広島県の県庁所在地を選択肢からお選びください。
(A) 熊本市
(B) 広島市
(C) 大分市
(D) 鹿児島市


3. 熊本県の県庁所在地を選択肢からお選びください。
(A) 水戸市
(B) 名古屋市
(C) 金沢市
(D) 熊本市


4. 群馬県の県庁所在地を選択肢からお選びください。
(A) 松江市
(B) 前橋市
(C) 宮崎市
(D) 和歌山市


5. 山梨県の県庁所在地を選択肢からお選びください。
(A) 高松市
(B) 甲府市
(C) 福岡市
(D) 盛岡市


6. 和歌山県の県庁所在地を選択肢からお選びください。
(A) 札幌市
(B) 秋田市
(C) 和歌山市
(D) 宮崎市


7. 滋賀県の県庁所在地を選択肢からお選びください。
(A) 那覇市
(B) 甲府市
(C) 大津市
(D) 東京


8. 佐賀県の県庁所在地を選択肢からお選びください。
(A) 東京
(B) 佐賀市
(C) 那覇市
(D) 鳥取市


9. 鹿児島県の県庁所在地を選択肢からお選びください。
(A) 京都市
(B) 徳島市
(C) 鹿児島市
(D) 新潟市


10. 福井県の県庁所在地を選択肢からお選びください。
(A) 名古屋市
(B) 福島市
(C) 横浜市
(D) 福井市


11. 愛媛県の県庁所在地を選択肢からお選びください。
(A) 神戸市
(B) 松山市
(C) 長崎市
(D) 佐賀市


12. 石川県の県庁所在地を選択肢からお選びください。
(A) 徳島市
(B) 静岡市
(C) 松山市
(D) 金沢市


13. 徳島県の県庁所在地を選択肢からお選びください。
(A) 大分市
(B) 徳島市
(C) 岡山市
(D) 松山市


14. 新潟県の県庁所在地を選択肢からお選びください。
(A) 宇都宮市
(B) 新潟市
(C) 甲府市
(D) 神戸市


15. 栃木県の県庁所在地を選択肢からお選びください。
(A) 岡山市
(B) 那覇市
(C) 佐賀市
(D) 宇都宮市


16. 宮崎県の県庁所在地を選択肢からお選びください。
(A) 名古屋市
(B) 宇都宮市
(C) 松山市
(D) 宮崎市


17. 京都府の県庁所在地を選択肢からお選びください。
(A) 大分市
(B) 津市
(C) 京都市
(D) 長崎市


18. 愛知県の県庁所在地を選択肢からお選びください。
(A) 鳥取市
(B) 宇都宮市
(C) 名古屋市
(D) 前橋市


19. 静岡県の県庁所在地を選択肢からお選びください。
(A) 新潟市
(B) 静岡市
(C) 高松市
(D) 岡山市


20. 福岡県の県庁所在地を選択肢からお選びください。
(A) 青森市
(B) 福岡市
(C) 長野市
(D) 山形市


21. 三重県の県庁所在地を選択肢からお選びください。
(A) 松江市
(B) 津市
(C) さいたま市
(D) 大阪市


22. 岩手県の県庁所在地を選択肢からお選びください。
(A) 横浜市
(B) 大分市
(C) 盛岡市
(D) 千葉市


23. 兵庫県の県庁所在地を選択肢からお選びください。
(A) 津市
(B) 神戸市
(C) 岐阜市
(D) 宮崎市


24. 福島県の県庁所在地を選択肢からお選びください。
(A) 福島市
(B) 山形市
(C) 佐賀市
(D) 山口市


25. 東京都の県庁所在地を選択肢からお選びください。
(A) 山形市
(B) 広島市
(C) 前橋市
(D) 東京


26. 大分県の県庁所在地を選択肢からお選びください。
(A) 奈良市
(B) 高松市
(C) 大分市
(D) 高知市


27. 長崎県の県庁所在地を選択肢からお選びください。
(A) 長崎市
(B) 佐賀市
(C) 甲府市
(D) 福島市


28. 北海道の県庁所在地を選択肢からお選びください。
(A) 東京
(B) 大阪市
(C) 盛岡市
(D) 札幌市


29. 高知県の県庁所在地を選択肢からお選びください。
(A) 東京
(B) 那覇市
(C) 高知市
(D) 甲府市


30. 茨城県の県庁所在地を選択肢からお選びください。
(A) 佐賀市
(B) 甲府市
(C) 奈良市
(D) 水戸市


31. 山形県の県庁所在地を選択肢からお選びください。
(A) 静岡市
(B) 山形市
(C) 名古屋市
(D) 和歌山市


32. 大阪府の県庁所在地を選択肢からお選びください。
(A) 山口市
(B) 松江市
(C) 札幌市
(D) 大阪市


33. 青森県の県庁所在地を選択肢からお選びください。
(A) 長崎市
(B) 山口市
(C) 青森市
(D) 富山市


34. 岐阜県の県庁所在地を選択肢からお選びください。
(A) 山形市
(B) 東京
(C) 岐阜市
(D) 長崎市


35. 奈良県の県庁所在地を選択肢からお選びください。
(A) 京都市
(B) 横浜市
(C) 奈良市
(D) 福島市


36. 神奈川県の県庁所在地を選択肢からお選びください。
(A) 佐賀市
(B) 横浜市
(C) 宇都宮市
(D) 新潟市


37. 岡山県の県庁所在地を選択肢からお選びください。
(A) 岡山市
(B) 鳥取市
(C) 盛岡市
(D) 宮崎市


38. 富山県の県庁所在地を選択肢からお選びください。
(A) 熊本市
(B) 富山市
(C) 鳥取市
(D) 広島市


39. 鳥取県の県庁所在地を選択肢からお選びください。
(A) 佐賀市
(B) 金沢市
(C) 鳥取市
(D) 京都市


40. 山口県の県庁所在地を選択肢からお選びください。
(A) 名古屋市
(B) 山口市
(C) 徳島市
(D) 岡山市


41. 埼玉県の県庁所在地を選択肢からお選びください。
(A) 千葉市
(B) 高松市
(C) 宇都宮市
(D) さいたま市


42. 島根県の県庁所在地を選択肢からお選びください。
(A) 津市
(B) さいたま市
(C) 松江市
(D) 大阪市


43. 香川県の県庁所在地を選択肢からお選びください。
(A) 秋田市
(B) 高松市
(C) 金沢市
(D) 奈良市


44. 長野県の県庁所在地を選択肢からお選びください。
(A) 長野市
(B) 山口市
(C) 静岡市
(D) 宮崎市


45. 沖縄県の県庁所在地を選択肢からお選びください。
(A) 福島市
(B) 金沢市
(C) 仙台市
(D) 那覇市


46. 千葉県の県庁所在地を選択肢からお選びください。
(A) 千葉市
(B) 那覇市
(C) 盛岡市
(D) 高知市
